                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.90724,                0.58777,                0.90289,                0.98723,                0.99324,                0.99354,                0.75382,                0.90229,                0.45953,                0.92274,             0.00095702,             0.00095702,             0.00095702
                     37,                0.94878,                0.64024,                0.90146,                 0.9879,                0.98624,                0.99325,                 0.7435,                0.91737,                0.48926,                0.93148,             0.00095262,             0.00095262,             0.00095262
                     38,                0.90523,                0.61311,                0.91278,                 0.9796,                0.99429,                0.99152,                0.74616,                0.89943,                0.46235,                0.92633,             0.00094822,             0.00094822,             0.00094822
                     39,                0.93111,                 0.6033,                0.91636,                0.97343,                 0.9941,                0.98763,                 0.7469,                0.89073,                0.46836,                0.92142,             0.00094382,             0.00094382,             0.00094382
                     40,                0.92689,                0.60105,                0.90602,                0.98336,                0.99533,                0.99204,                0.75444,                0.87955,                0.45259,                0.91921,             0.00093942,             0.00093942,             0.00093942
                     41,                0.89587,                0.61021,                0.91625,                0.98553,                0.99159,                0.99289,                0.76052,                0.88143,                0.44287,                0.91584,             0.00093502,             0.00093502,             0.00093502
                     42,                0.91836,                0.57808,                0.90227,                0.98322,                0.99289,                0.99264,                0.76213,                0.86543,                 0.4519,                0.91068,             0.00093062,             0.00093062,             0.00093062
                     43,                0.88908,                0.60051,                0.88968,                 0.9773,                0.99426,                0.99322,                0.76365,                0.87262,                0.44396,                0.91473,             0.00092622,             0.00092622,             0.00092622
                     44,                0.88356,                0.55456,                0.90137,                 0.9792,                  0.991,                 0.9927,                0.76488,                0.86875,                0.43317,                0.91694,             0.00092182,             0.00092182,             0.00092182
                     45,                0.89586,                0.56633,                0.89954,                 0.9863,                0.98651,                0.99322,                0.76459,                0.87401,                0.45569,                0.91205,             0.00091742,             0.00091742,             0.00091742
                     46,                0.90031,                0.56443,                0.91275,                0.97634,                0.98858,                0.99301,                0.76107,                0.88374,                 0.4812,                0.91303,             0.00091302,             0.00091302,             0.00091302
                     47,                 0.8636,                0.57885,                0.92069,                0.98954,                0.99606,                 0.9926,                 0.7543,                0.88902,                0.44812,                0.91825,             0.00090862,             0.00090862,             0.00090862
                     48,                0.90144,                0.55461,                0.89632,                0.98605,                0.99335,                0.99319,                0.75487,                0.89289,                0.43693,                0.91338,             0.00090422,             0.00090422,             0.00090422
                     49,                0.93237,                0.54666,                0.91087,                0.98376,                0.99732,                0.99347,                0.76474,                0.86818,                0.43176,                0.90829,             0.00089982,             0.00089982,             0.00089982
                     50,                0.90431,                0.54186,                0.88696,                0.98612,                0.99774,                0.99307,                0.76495,                0.88346,                0.44931,                0.91808,             0.00089542,             0.00089542,             0.00089542
                     51,                0.89138,                0.54607,                0.90575,                0.99176,                0.99505,                0.99369,                0.76717,                 0.8557,                0.41748,                0.91103,             0.00089102,             0.00089102,             0.00089102
                     52,                0.87959,                0.55931,                0.90227,                0.98654,                0.99774,                0.99387,                0.77576,                0.85588,                0.43287,                0.90528,             0.00088662,             0.00088662,             0.00088662
                     53,                0.88909,                0.56261,                 0.9038,                0.98848,                0.99547,                0.99385,                 0.7738,                0.84859,                0.41599,                0.90114,             0.00088222,             0.00088222,             0.00088222
                     54,                0.87918,                0.52764,                0.89562,                0.99462,                0.98852,                0.99404,                0.78658,                0.82493,                0.40473,                 0.8983,             0.00087782,             0.00087782,             0.00087782
                     55,                0.87306,                0.52714,                0.90915,                0.98628,                0.98924,                0.99354,                 0.7666,                0.88926,                0.42671,                0.91529,             0.00087342,             0.00087342,             0.00087342
                     56,                0.85111,                0.49991,                0.89158,                0.99225,                0.98469,                0.99387,                0.77599,                0.86056,                0.41016,                0.90372,             0.00086902,             0.00086902,             0.00086902
                     57,                0.91248,                0.54532,                0.90719,                0.99366,                 0.9894,                0.99347,                0.77651,                0.85572,                0.41995,                0.90501,             0.00086462,             0.00086462,             0.00086462
                     58,                0.91144,                0.51871,                0.90311,                0.99397,                 0.9877,                0.99383,                0.78203,                0.83638,                0.40767,                0.90277,             0.00086023,             0.00086023,             0.00086023
                     59,                0.85482,                0.48528,                0.89762,                0.99179,                0.98739,                0.99399,                0.77159,                0.88244,                0.41033,                 0.9156,             0.00085583,             0.00085583,             0.00085583
                     60,                0.83139,                0.49837,                0.88402,                 0.9916,                 0.9894,                0.99401,                0.79624,                 0.8095,                0.40403,                0.89135,             0.00085143,             0.00085143,             0.00085143
                     61,                0.82741,                0.54161,                0.89063,                0.99303,                0.99543,                0.99463,                0.77585,                0.85718,                0.39452,                0.90783,             0.00084703,             0.00084703,             0.00084703
                     62,                0.88854,                0.53649,                0.90009,                0.98949,                0.98949,                0.99448,                0.78675,                0.82057,                0.40029,                0.89738,             0.00084263,             0.00084263,             0.00084263
                     63,                0.80359,                0.56308,                0.82416,                0.99316,                0.99571,                0.99454,                0.77295,                0.83855,                0.40402,                0.90044,             0.00083823,             0.00083823,             0.00083823
                     64,                0.81189,                0.56761,                 0.8256,                0.99225,                0.99693,                0.99428,                0.78426,                0.83446,                0.39549,                0.89682,             0.00083383,             0.00083383,             0.00083383
                     65,                0.90307,                0.49777,                0.90452,                0.98966,                0.99464,                0.99435,                0.78617,                 0.8155,                0.39884,                0.88873,             0.00082943,             0.00082943,             0.00082943
                     66,                  0.848,                0.48339,                0.89556,                0.99499,                0.99726,                0.99454,                0.78077,                0.83747,                0.38389,                0.89729,             0.00082503,             0.00082503,             0.00082503
                     67,                0.84413,                0.46801,                0.88968,                 0.9947,                0.99845,                0.99441,                0.79251,                0.79984,                0.37643,                0.88965,             0.00082063,             0.00082063,             0.00082063
                     68,                0.85032,                0.47678,                0.89241,                 0.9925,                0.99664,                0.99382,                0.78056,                0.82972,                0.39001,                0.89941,             0.00081623,             0.00081623,             0.00081623
                     69,                0.83861,                0.46799,                0.88998,                0.99187,                0.99599,                0.99443,                0.77351,                0.86966,                0.40402,                0.90885,             0.00081183,             0.00081183,             0.00081183
                     70,                0.84514,                0.47642,                0.87147,                0.99204,                0.99487,                0.99442,                   0.78,                0.84482,                0.40437,                0.90332,             0.00080743,             0.00080743,             0.00080743
                     71,                0.83301,                0.49044,                0.89983,                  0.993,                0.99507,                0.99416,                 0.7815,                0.87109,                0.40574,                0.90882,             0.00080303,             0.00080303,             0.00080303
                     72,                0.87196,                0.49486,                0.89281,                0.98987,                0.99482,                0.99474,                0.79282,                0.80059,                0.38705,                0.88914,             0.00079863,             0.00079863,             0.00079863
                     73,                0.75262,                0.53328,                0.82112,                0.99495,                0.99775,                0.99476,                0.78646,                0.80884,                0.39227,                 0.8875,             0.00079423,             0.00079423,             0.00079423
                     74,                0.84259,                0.46972,                0.88266,                0.99338,                0.99827,                0.99494,                0.78618,                 0.7934,                0.38271,                0.88559,             0.00078983,             0.00078983,             0.00078983
                     75,                0.80526,                 0.4605,                0.90243,                0.99415,                0.99887,                0.99494,                0.79576,                0.80095,                0.37777,                 0.8908,             0.00078543,             0.00078543,             0.00078543
                     76,                0.83473,                0.47026,                0.89904,                0.99257,                0.99848,                0.99435,                0.77959,                0.87368,                0.39585,                0.91765,             0.00078103,             0.00078103,             0.00078103
                     77,                0.81985,                0.46205,                0.87233,                0.99318,                0.99655,                0.99446,                0.79604,                0.80439,                0.37072,                0.89127,             0.00077663,             0.00077663,             0.00077663
                     78,                0.84428,                0.46192,                0.88775,                0.99343,                0.99759,                0.99459,                0.77228,                 0.8724,                0.39891,                0.91461,             0.00077223,             0.00077223,             0.00077223
                     79,                0.83123,                0.46427,                0.89207,                0.99442,                0.99887,                0.99496,                0.80666,                0.77971,                0.37409,                0.88553,             0.00076783,             0.00076783,             0.00076783
                     80,                 0.8271,                0.45593,                0.86893,                0.99561,                 0.9988,                0.99499,                0.80903,                0.78925,                0.36845,                 0.8905,             0.00076343,             0.00076343,             0.00076343
                     81,                0.84376,                0.46209,                0.90045,                0.99439,                0.99887,                0.99494,                0.81123,                0.75548,                0.37324,                 0.8798,             0.00075904,             0.00075904,             0.00075904
                     82,                0.85748,                0.47011,                0.90803,                 0.9931,                0.99887,                0.99482,                0.78659,                0.81986,                 0.3844,                0.90294,             0.00075464,             0.00075464,             0.00075464
                     83,                0.85895,                 0.4803,                0.92402,                0.99626,                0.99887,                0.99469,                0.81935,                0.75059,                0.36274,                0.87903,             0.00075024,             0.00075024,             0.00075024
                     84,                0.82533,                0.44387,                   0.91,                0.99396,                0.99707,                0.99486,                 0.8059,                0.80451,                0.37433,                0.89293,             0.00074584,             0.00074584,             0.00074584
                     85,                0.78683,                0.44869,                0.87675,                0.99288,                0.99538,                0.99491,                0.80168,                0.79423,                0.38789,                0.89412,             0.00074144,             0.00074144,             0.00074144
                     86,                0.82332,                0.46065,                0.88786,                0.99585,                0.99531,                0.99487,                0.80545,                0.78172,                0.37262,                0.88662,             0.00073704,             0.00073704,             0.00073704
                     87,                0.87231,                0.50785,                0.95127,                 0.9953,                0.99837,                0.99457,                0.80868,                0.78267,                 0.3736,                0.88309,             0.00073264,             0.00073264,             0.00073264
                     88,                0.80301,                 0.4419,                0.87265,                 0.9961,                0.99788,                0.99449,                0.80517,                0.77116,                0.37733,                0.88215,             0.00072824,             0.00072824,             0.00072824
                     89,                0.78151,                0.44062,                0.88176,                 0.9962,                0.99577,                 0.9935,                0.80341,                0.77715,                0.36593,                0.88465,             0.00072384,             0.00072384,             0.00072384
                     90,                0.77285,                0.42795,                0.86341,                0.99515,                0.99579,                0.99344,                0.80515,                 0.7555,                0.36931,                0.87982,             0.00071944,             0.00071944,             0.00071944
