                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                0.64245,                0.58401,                 0.8551,                0.99824,                 0.9992,                  0.995,                0.87118,                0.57661,                0.29538,                0.82797,             0.00043787,             0.00043787,             0.00043787
                    155,                0.66183,                0.36258,                0.84846,                0.99729,                0.99885,                0.99498,                0.87058,                0.56977,                0.29583,                0.83096,             0.00043347,             0.00043347,             0.00043347
                    156,                0.62713,                0.35387,                0.86064,                0.99672,                 0.9994,                0.99499,                0.88134,                0.55373,                0.28627,                0.82537,             0.00042907,             0.00042907,             0.00042907
                    157,                0.63952,                0.35423,                0.85283,                0.99604,                0.99982,                0.99499,                0.87637,                0.54688,                  0.282,                0.82409,             0.00042467,             0.00042467,             0.00042467
                    158,                0.62439,                0.37597,                0.84111,                0.99649,                0.99925,                  0.995,                0.87009,                0.57515,                0.28251,                0.83065,             0.00042027,             0.00042027,             0.00042027
                    159,                0.60156,                0.33547,                0.84359,                 0.9962,                0.99946,                  0.995,                0.87949,                0.53493,                0.28024,                0.82175,             0.00041587,             0.00041587,             0.00041587
                    160,                0.62914,                0.35538,                0.84654,                0.99684,                0.99964,                0.99499,                0.86866,                0.57254,                0.28651,                0.82848,             0.00041147,             0.00041147,             0.00041147
                    161,                 0.6333,                0.36353,                0.84323,                0.99765,                      1,                0.99497,                0.88028,                0.54528,                0.27724,                 0.8218,             0.00040707,             0.00040707,             0.00040707
                    162,                0.59241,                0.33924,                0.84309,                0.99732,                      1,                0.99495,                0.86986,                0.57659,                0.28523,                0.83028,             0.00040267,             0.00040267,             0.00040267
                    163,                0.59777,                0.33974,                0.83305,                0.99696,                      1,                0.99498,                0.88267,                0.53499,                0.27437,                0.82229,             0.00039827,             0.00039827,             0.00039827
                    164,                0.62091,                0.34401,                0.84383,                0.99714,                      1,                0.99497,                0.88047,                0.56903,                0.27899,                0.83109,             0.00039387,             0.00039387,             0.00039387
                    165,                0.58634,                0.34073,                0.82713,                0.99732,                0.99969,                  0.995,                0.87125,                0.55135,                0.28257,                0.82564,             0.00038947,             0.00038947,             0.00038947
                    166,                0.58413,                0.33641,                0.83044,                0.99727,                      1,                  0.995,                0.86788,                0.58754,                0.28654,                0.83304,             0.00038507,             0.00038507,             0.00038507
                    167,                0.60993,                0.33514,                0.83681,                0.99779,                0.99919,                  0.995,                0.88421,                0.52325,                0.27797,                0.81946,             0.00038067,             0.00038067,             0.00038067
                    168,                0.55117,                  0.344,                0.76796,                0.99739,                0.99938,                  0.995,                0.88527,                0.53805,                0.27621,                0.82195,             0.00037627,             0.00037627,             0.00037627
                    169,                0.60461,                0.33822,                0.83752,                0.99726,                      1,                  0.995,                0.88692,                0.52735,                 0.2689,                0.81861,             0.00037187,             0.00037187,             0.00037187
                    170,                0.59891,                0.33933,                0.83996,                0.99718,                      1,                  0.995,                0.88367,                0.55817,                0.28114,                0.82416,             0.00036747,             0.00036747,             0.00036747
                    171,                0.58949,                0.32956,                0.84091,                0.99779,                0.99977,                  0.995,                0.88499,                 0.5363,                0.27677,                0.81908,             0.00036307,             0.00036307,             0.00036307
                    172,                0.58781,                0.34427,                0.82952,                0.99701,                      1,                  0.995,                0.88063,                0.56248,                0.28451,                0.82736,             0.00035868,             0.00035868,             0.00035868
                    173,                0.58303,                0.32958,                0.83498,                0.99789,                0.99886,                  0.995,                0.88536,                0.52992,                0.27602,                0.81944,             0.00035428,             0.00035428,             0.00035428
                    174,                0.59502,                0.33091,                0.84016,                0.99742,                0.99899,                  0.995,                0.87827,                 0.5572,                0.28139,                0.82423,             0.00034988,             0.00034988,             0.00034988
                    175,                0.59445,                0.33668,                0.83633,                0.99732,                0.99898,                  0.995,                0.88268,                0.53727,                0.27574,                0.82125,             0.00034548,             0.00034548,             0.00034548
                    176,                0.58723,                0.33218,                0.84152,                0.99722,                      1,                  0.995,                 0.8787,                0.54963,                0.27532,                0.82304,             0.00034108,             0.00034108,             0.00034108
                    177,                0.59206,                0.35314,                0.83292,                0.99774,                0.99963,                0.99499,                0.88336,                 0.5383,                0.27262,                0.82135,             0.00033668,             0.00033668,             0.00033668
                    178,                0.60915,                0.33848,                0.84823,                0.99757,                0.99988,                0.99499,                0.89582,                0.50008,                0.26723,                0.81359,             0.00033228,             0.00033228,             0.00033228
                    179,                0.59714,                0.34063,                0.83773,                0.99727,                      1,                0.99499,                0.89974,                0.50042,                0.27144,                0.81467,             0.00032788,             0.00032788,             0.00032788
                    180,                0.59635,                0.36486,                0.83231,                0.99742,                0.99977,                0.99499,                0.89452,                0.52326,                0.26705,                0.81882,             0.00032348,             0.00032348,             0.00032348
                    181,                0.57105,                0.33219,                0.82795,                0.99737,                0.99968,                0.99495,                0.89479,                0.51451,                0.26627,                0.81581,             0.00031908,             0.00031908,             0.00031908
                    182,                0.61662,                0.34012,                0.83802,                0.99757,                0.99968,                0.99492,                0.89446,                0.52603,                0.26621,                0.81779,             0.00031468,             0.00031468,             0.00031468
                    183,                0.55324,                0.31414,                   0.83,                0.99775,                0.99961,                0.99493,                0.89828,                0.50459,                0.25944,                 0.8134,             0.00031028,             0.00031028,             0.00031028
                    184,                0.57321,                0.32776,                0.84044,                0.99886,                0.99957,                  0.995,                 0.8926,                0.51076,                0.26373,                0.81549,             0.00030588,             0.00030588,             0.00030588
                    185,                0.55852,                0.32811,                0.83116,                0.99819,                0.99887,                  0.995,                0.89109,                0.51065,                0.26201,                0.81592,             0.00030148,             0.00030148,             0.00030148
                    186,                0.56095,                0.32589,                0.84239,                0.99848,                0.99887,                  0.995,                0.88694,                0.53237,                0.26585,                 0.8187,             0.00029708,             0.00029708,             0.00029708
                    187,                0.55988,                0.32131,                0.81655,                0.99845,                0.99887,                  0.995,                0.88573,                0.52459,                 0.2657,                0.81729,             0.00029268,             0.00029268,             0.00029268
                    188,                0.54171,                0.30901,                0.82297,                0.99903,                0.99974,                  0.995,                0.89591,                0.49314,                 0.2583,                 0.8128,             0.00028828,             0.00028828,             0.00028828
                    189,                0.59435,                0.35638,                0.84115,                 0.9989,                      1,                  0.995,                0.89366,                0.50151,                0.26258,                 0.8157,             0.00028388,             0.00028388,             0.00028388
                    190,                 0.5486,                0.32067,                0.82811,                0.99886,                      1,                  0.995,                 0.9015,                0.48665,                0.26094,                 0.8114,             0.00027948,             0.00027948,             0.00027948
                    191,                 0.5712,                0.31875,                0.83476,                 0.9989,                0.99984,                  0.995,                0.89669,                0.50379,                0.25837,                  0.816,             0.00027508,             0.00027508,             0.00027508
                    192,                0.56067,                0.33527,                  0.828,                0.99738,                      1,                  0.995,                0.89375,                0.50639,                0.25714,                0.81652,             0.00027068,             0.00027068,             0.00027068
                    193,                 0.5556,                0.32017,                0.82503,                0.99862,                0.99974,                  0.995,                 0.8935,                 0.5062,                0.25959,                0.81459,             0.00026628,             0.00026628,             0.00026628
                    194,                0.50538,                0.31999,                0.82074,                0.99771,                0.99979,                0.99498,                0.89703,                0.48803,                  0.251,                0.81141,             0.00026188,             0.00026188,             0.00026188
                    195,                0.55404,                0.32138,                0.83933,                0.99898,                      1,                  0.995,                0.90729,                0.45156,                0.24817,                0.80401,             0.00025749,             0.00025749,             0.00025749
                    196,                0.54765,                0.31883,                0.81667,                  0.999,                      1,                  0.995,                0.89398,                0.49408,                0.25841,                0.81035,             0.00025309,             0.00025309,             0.00025309
                    197,                0.53257,                0.31207,                0.82979,                0.99893,                      1,                  0.995,                0.90479,                0.46007,                0.25047,                0.80398,             0.00024869,             0.00024869,             0.00024869
                    198,                0.53139,                0.30682,                0.81633,                0.99877,                      1,                  0.995,                 0.9028,                0.47472,                0.25315,                0.80657,             0.00024429,             0.00024429,             0.00024429
                    199,                0.51318,                0.29876,                0.81992,                 0.9987,                      1,                  0.995,                0.89362,                0.50623,                0.25506,                0.81273,             0.00023989,             0.00023989,             0.00023989
                    200,                 0.5382,                0.31038,                0.82007,                0.99839,                      1,                  0.995,                0.90813,                0.45058,                 0.2448,                0.80183,             0.00023549,             0.00023549,             0.00023549
                    201,                0.53318,                0.32326,                0.83641,                0.99862,                      1,                  0.995,                0.90243,                0.48097,                0.25082,                 0.8067,             0.00023109,             0.00023109,             0.00023109
                    202,                0.56206,                0.34656,                0.83182,                0.99794,                      1,                  0.995,                0.91868,                0.43131,                0.24436,                0.79857,             0.00022669,             0.00022669,             0.00022669
                    203,                0.53487,                0.31663,                0.82746,                0.99815,                      1,                  0.995,                0.92274,                0.41629,                0.24071,                0.79581,             0.00022229,             0.00022229,             0.00022229
                    204,                0.51348,                0.29887,                0.82748,                0.99856,                      1,                  0.995,                0.90849,                0.45531,                0.24218,                0.80329,             0.00021789,             0.00021789,             0.00021789
                    205,                0.53873,                0.30393,                0.83154,                0.99896,                      1,                  0.995,                0.91466,                0.44118,                  0.243,                0.80071,             0.00021349,             0.00021349,             0.00021349
                    206,                0.52491,                0.30906,                0.83707,                0.99908,                      1,                  0.995,                0.90549,                 0.4844,                0.25322,                0.80826,             0.00020909,             0.00020909,             0.00020909
                    207,                0.51985,                0.30547,                0.83273,                0.99886,                      1,                  0.995,                0.91409,                0.45091,                0.24806,                 0.8019,             0.00020469,             0.00020469,             0.00020469
                    208,                 0.5409,                0.31096,                0.83883,                0.99855,                      1,                  0.995,                0.91634,                0.45293,                0.24637,                0.80092,             0.00020029,             0.00020029,             0.00020029
                    209,                0.52011,                0.30489,                0.82406,                 0.9983,                      1,                  0.995,                 0.9036,                0.46395,                0.24537,                0.80301,             0.00019589,             0.00019589,             0.00019589
                    210,                0.54011,                0.31505,                0.82073,                0.99773,                      1,                  0.995,                0.91077,                0.43506,                0.24013,                0.79753,             0.00019149,             0.00019149,             0.00019149
                    211,                0.50245,                0.29911,                0.82235,                0.99855,                      1,                  0.995,                  0.907,                0.45576,                0.24401,                0.80144,             0.00018709,             0.00018709,             0.00018709
                    212,                0.50884,                0.30203,                0.82884,                0.99871,                      1,                  0.995,                0.90809,                0.45304,                0.24242,                 0.8019,             0.00018269,             0.00018269,             0.00018269
                    213,                0.51156,                 0.2971,                 0.8246,                0.99898,                      1,                  0.995,                0.91826,                0.43959,                0.23997,                0.79917,             0.00017829,             0.00017829,             0.00017829
                    214,                0.54046,                0.34297,                0.83327,                0.99885,                      1,                  0.995,                 0.9055,                0.47624,                0.24733,                0.80652,             0.00017389,             0.00017389,             0.00017389
                    215,                0.49588,                0.29655,                0.81165,                0.99888,                0.99992,                  0.995,                0.90227,                0.47107,                0.24772,                0.80538,             0.00016949,             0.00016949,             0.00016949
                    216,                0.52607,                0.31231,                0.82581,                0.99895,                      1,                  0.995,                0.91288,                0.43131,                0.23681,                0.79836,             0.00016509,             0.00016509,             0.00016509
                    217,                 0.4711,                 0.3063,                0.76256,                0.99889,                      1,                  0.995,                0.90973,                0.46274,                0.24029,                 0.8046,              0.0001607,              0.0001607,              0.0001607
                    218,                0.50254,                0.30669,                0.81065,                0.99892,                0.99988,                  0.995,                0.91493,                0.43677,                0.23467,                0.80014,              0.0001563,              0.0001563,              0.0001563
                    219,                0.48535,                0.28491,                0.81839,                0.99885,                      1,                  0.995,                0.91622,                0.42036,                0.23336,                0.79716,              0.0001519,              0.0001519,              0.0001519
                    220,                0.50493,                0.29464,                 0.8261,                0.99886,                      1,                  0.995,                0.91012,                0.45814,                0.24173,                0.80321,              0.0001475,              0.0001475,              0.0001475
                    221,                0.51792,                0.30949,                0.83602,                0.99902,                      1,                  0.995,                0.91755,                0.42341,                0.23308,                0.79746,              0.0001431,              0.0001431,              0.0001431
                    222,                 0.5047,                0.33552,                0.81858,                0.99902,                      1,                  0.995,                0.91797,                0.41947,                0.22993,                0.79659,              0.0001387,              0.0001387,              0.0001387
                    223,                0.49872,                0.29441,                0.81186,                0.99896,                      1,                  0.995,                0.91199,                0.45193,                0.23816,                0.80243,              0.0001343,              0.0001343,              0.0001343
                    224,                0.50055,                0.30391,                 0.8207,                0.99917,                      1,                  0.995,                0.92233,                 0.4196,                0.23524,                0.79685,              0.0001299,              0.0001299,              0.0001299
                    225,                0.48776,                0.29421,                0.81866,                0.99913,                      1,                  0.995,                 0.9209,                0.42094,                0.23585,                0.79702,              0.0001255,              0.0001255,              0.0001255
                    226,                0.48537,                0.30238,                0.83982,                0.99893,                      1,                  0.995,                0.91357,                0.43075,                0.23491,                0.79893,              0.0001211,              0.0001211,              0.0001211
                    227,                0.50998,                0.30181,                0.82803,                0.99887,                      1,                  0.995,                0.91783,                0.41164,                0.23218,                 0.7957,              0.0001167,              0.0001167,              0.0001167
                    228,                0.48319,                0.28686,                0.81966,                0.99886,                0.99998,                  0.995,                0.92299,                0.40057,                0.22792,                0.79419,              0.0001123,              0.0001123,              0.0001123
                    229,                0.49586,                 0.2925,                0.81192,                0.99869,                      1,                  0.995,                0.91987,                0.42421,                 0.2331,                0.79775,              0.0001079,              0.0001079,              0.0001079
                    230,                0.54244,                0.30628,                0.82828,                 0.9986,                      1,                  0.995,                0.92242,                0.41835,                0.23059,                0.79596,              0.0001035,              0.0001035,              0.0001035
                    231,                0.53126,                0.30179,                0.82699,                0.99849,                      1,                  0.995,                0.93263,                 0.3981,                0.22646,                0.79254,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    232,                0.50323,                0.29645,                 0.8081,                 0.9984,                      1,                  0.995,                0.92085,                0.42152,                0.22846,                0.79634,             9.4702e-05,             9.4702e-05,             9.4702e-05
                    233,                0.49615,                0.29274,                0.81999,                0.99846,                      1,                  0.995,                0.92291,                0.41945,                0.23005,                0.79602,             9.0302e-05,             9.0302e-05,             9.0302e-05
                    234,                0.46584,                0.28351,                0.81517,                 0.9987,                      1,                  0.995,                0.92859,                0.39396,                0.22449,                  0.792,             8.5903e-05,             8.5903e-05,             8.5903e-05
                    235,                0.46657,                0.28138,                0.80634,                 0.9989,                      1,                  0.995,                0.93094,                0.39367,                0.22406,                0.79194,             8.1503e-05,             8.1503e-05,             8.1503e-05
                    236,                0.47408,                0.29547,                0.82181,                0.99892,                      1,                  0.995,                0.92526,                0.40552,                0.22586,                0.79343,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    237,                0.48734,                0.29426,                0.82566,                0.99897,                      1,                  0.995,                  0.929,                0.39768,                0.22373,                0.79266,             7.2704e-05,             7.2704e-05,             7.2704e-05
                    238,                 0.4346,                0.27131,                0.81969,                0.99898,                      1,                  0.995,                0.93225,                0.38901,                0.22326,                0.79089,             6.8304e-05,             6.8304e-05,             6.8304e-05
                    239,                0.49656,                0.29392,                0.82872,                0.99899,                      1,                  0.995,                0.93537,                0.37999,                0.21944,                 0.7893,             6.3905e-05,             6.3905e-05,             6.3905e-05
                    240,                 0.4967,                0.29581,                0.83505,                0.99891,                      1,                  0.995,                0.93327,                0.38317,                0.22081,                0.78936,             5.9505e-05,             5.9505e-05,             5.9505e-05
                    241,                0.47389,                0.27377,                0.81493,                0.99879,                      1,                  0.995,                0.93945,                0.36335,                0.21744,                 0.7861,             5.5106e-05,             5.5106e-05,             5.5106e-05
                    242,                0.47376,                0.28124,                0.82121,                0.99861,                      1,                  0.995,                   0.94,                0.34621,                 0.2168,                0.78354,             5.0706e-05,             5.0706e-05,             5.0706e-05
                    243,                 0.4329,                0.26976,                  0.807,                0.99859,                      1,                  0.995,                 0.9318,                0.35689,                0.21953,                0.78485,             4.6306e-05,             4.6306e-05,             4.6306e-05
                    244,                0.47718,                0.28629,                0.80205,                0.99866,                      1,                  0.995,                0.93202,                0.36231,                0.22102,                 0.7849,             4.1907e-05,             4.1907e-05,             4.1907e-05
                    245,                0.44231,                0.26738,                0.80924,                0.99873,                      1,                  0.995,                0.93023,                0.35766,                0.21897,                 0.7841,             3.7507e-05,             3.7507e-05,             3.7507e-05
                    246,                0.42114,                0.26012,                0.80055,                0.99881,                      1,                  0.995,                0.93337,                 0.3523,                0.21806,                0.78363,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    247,                0.52604,                0.30551,                 0.8166,                 0.9988,                      1,                  0.995,                0.93165,                0.35216,                0.21964,                0.78393,             2.8708e-05,             2.8708e-05,             2.8708e-05
                    248,                0.44766,                0.28121,                0.80391,                0.99878,                      1,                  0.995,                0.93157,                0.35153,                0.21996,                0.78383,             2.4309e-05,             2.4309e-05,             2.4309e-05
                    249,                0.43143,                0.27758,                0.80125,                0.99878,                      1,                  0.995,                0.93184,                0.35051,                0.21905,                0.78397,             1.9909e-05,             1.9909e-05,             1.9909e-05
                    250,                0.42411,                0.26504,                0.81381,                0.99883,                      1,                  0.995,                0.93317,                 0.3489,                0.21717,                0.78392,              1.551e-05,              1.551e-05,              1.551e-05
